"filename", "language", "JavaScript", "JSON", "Markdown", "YAML", "JavaScript React", "SCSS", "HTML", "XML", "CSS", "Less", "comment", "blank", "total"
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-linearicons/demo-files/demo.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-linearicons/demo.html", "HTML", 0, 0, 0, 0, 0, 0, 2585, 0, 0, 0, 2, 172, 2759
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-linearicons/fonts/Linearicons-Free.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 199
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-linearicons/selection.json", "JSON", 0, 6518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6518
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-linearicons/style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 532, 0, 1, 4, 537
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/images/icons/google-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 1, 48
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/images/mirimus-light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/images/mirimus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/images/salivaclear.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/TwoTone.jsx", "JavaScript React", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/barcode.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/download.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/empty.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
